date,deflection,temperature,OW1,OW2,T1(1-3),T1(2-4),T2(1-3),T2(2-4),T3(1-3),T3(2-4),T4(1-3),T4(2-4),T5(1-3),T5(2-4),T6(1-3),T6(2-4),number,SO1(1.5),SO1(2.5),SO1(3.5),SO2(0.5),SO2(10.5),SO2(11.0)
106/2/21,582.79 ,15.6 ,-1.14 ,-6.41 ,0.000440 ,-0.000080 ,0.000800 ,0.000120 ,-0.001180 ,0.001680 ,-0.000300 ,0.000080 ,0.000280 ,-0.001920 ,-0.000200 ,0.000460 ,24841,0.37 ,0.33 ,0.32 ,0,0,0
106/3/6,582.49 ,11.5 ,-1.70 ,-6.67 ,0.000380 ,-0.000180 ,0.000960 ,0.000180 ,-0.001240 ,0.001580 ,-0.000300 ,0.000000 ,0.000240 ,-0.001860 ,-0.000260 ,0.000340 ,26023,0.26 ,0.37 ,0.42 ,0,0,0
106/4/5,583.75 ,22.2 ,-1.70 ,-6.56 ,0.000440 ,-0.000140 ,0.000820 ,0.000180 ,-0.001280 ,0.001700 ,-0.000280 ,0.000000 ,0.000200 ,-0.001880 ,-0.000240 ,0.000380 ,29248,0.30 ,0.32 ,0.31 ,0,0,0
106/5/4,586.68 ,24.9 ,-0.95 ,-6.53 ,0.000460 ,-0.000140 ,0.000740 ,0.000100 ,-0.001320 ,0.001800 ,-0.000260 ,0.000040 ,0.000300 ,-0.001760 ,-0.000180 ,0.000480 ,23712,0.37 ,0.37 ,0.38 ,0,0,0
106/5/31,585.89 ,23.1 ,-1.50 ,-6.42 ,0.000460 ,-0.000080 ,0.000860 ,0.000060 ,-0.001400 ,0.001860 ,-0.000220 ,0.000120 ,0.000440 ,-0.001840 ,-0.000260 ,0.000320 ,29184,0.32 ,0.30 ,0.25 ,0,0,0
106/7/6,588.24 ,27.7 ,-1.50 ,-6.59 ,0.000500 ,-0.000120 ,0.000940 ,0.000120 ,-0.001380 ,0.002020 ,-0.000160 ,0.000080 ,0.000540 ,-0.001740 ,-0.000180 ,0.000260 ,28028,0.31 ,0.30 ,0.29 ,0,0,0
106/8/4,587.97 ,27.2 ,-0.70 ,-5.65 ,0.000480 ,-0.000140 ,0.000880 ,0.000140 ,-0.001380 ,0.001900 ,-0.000160 ,0.000100 ,0.000460 ,-0.001700 ,-0.000080 ,0.000380 ,28423,0.47 ,0.46 ,0.43 ,0,0,0
106/9/5,587.21 ,28.7 ,-1.24 ,-6.12 ,0.000480 ,-0.000220 ,0.001000 ,0.000180 ,-0.001400 ,0.001920 ,-0.000260 ,0.000080 ,0.000540 ,-0.001860 ,-0.000040 ,0.000360 ,28817,0.39 ,0.38 ,0.34 ,0,0,0
106/10/2,586.81 ,26.8 ,-1.31 ,-6.30 ,0.000440 ,-0.000120 ,0.000940 ,0.000020 ,-0.001460 ,0.001780 ,-0.000180 ,0.000040 ,0.000700 ,-0.002020 ,-0.000180 ,0.000460 ,29212,0.33 ,0.34 ,0.26 ,0,0,0
106/11/2,585.13 ,25.5 ,-1.72 ,-6.50 ,0.000500 ,-0.000080 ,0.001080 ,0.000180 ,-0.001440 ,0.001860 ,-0.000180 ,0.000060 ,0.000740 ,-0.002020 ,-0.000140 ,0.000420 ,29607,0.35 ,0.35 ,0.28 ,0,0,0
106/12/4,583.51 ,24.3 ,-1.62 ,-6.53 ,0.000460 ,-0.000100 ,0.001000 ,0.000300 ,-0.001400 ,0.001880 ,-0.000260 ,0.000020 ,0.000800 ,-0.002040 ,-0.000140 ,0.000500 ,30002,0.41 ,0.33 ,0.29 ,0,0,0
107/1/4,584.52 ,17.9 ,-1.00 ,-6.27 ,0.000580 ,-0.000080 ,0.001140 ,0.000420 ,-0.001500 ,0.001920 ,-0.000180 ,0.000060 ,0.000740 ,-0.002160 ,-0.000220 ,0.000420 ,30396,0.38 ,0.30 ,0.25 ,0,0,0
107/2/1,580.20 ,7.7 ,-1.20 ,-6.30 ,0.000580 ,-0.000140 ,0.001240 ,0.000440 ,-0.001180 ,0.002040 ,-0.000220 ,0.000060 ,0.000840 ,-0.002020 ,-0.000100 ,0.000260 ,35282,0.46 ,0.43 ,0.40 ,0,0,0
107/3/5,586.72 ,21.3 ,-0.78 ,-5.61 ,0.000320 ,-0.000160 ,0.001420 ,0.000440 ,-0.001340 ,0.002200 ,-0.000220 ,0.000080 ,0.000700 ,-0.001900 ,-0.000240 ,0.000340 ,43399,0.52 ,0.58 ,0.48 ,0,0,0
107/4/9,582.41 ,20.0 ,-1.00 ,-5.83 ,0.000580 ,-0.000160 ,0.001520 ,0.000320 ,-0.001500 ,0.002340 ,-0.000180 ,0.000120 ,0.000740 ,-0.001860 ,-0.000100 ,0.000420 ,59634,0.50 ,0.56 ,0.38 ,0,0,0
107/5/2,585.74 ,24.2 ,-1.40 ,-6.02 ,0.000420 ,-0.000200 ,0.001440 ,0.000300 ,-0.001440 ,0.002260 ,-0.000240 ,0.000200 ,0.000660 ,-0.001920 ,-0.000040 ,0.000360 ,50826,0.54 ,0.57 ,0.42 ,0,0,0
107/6/1,584.83 ,21.9 ,-1.22 ,-5.92 ,0.000400 ,-0.000160 ,0.001380 ,0.000360 ,-0.001320 ,0.002100 ,-0.000260 ,0.000240 ,0.000620 ,-0.001880 ,-0.000100 ,0.000300 ,41251,0.48 ,0.54 ,0.44 ,0,0,0
107/7/2,587.48 ,27.4 ,-1.85 ,-6.15 ,0.000500 ,-0.000140 ,0.001460 ,0.000440 ,-0.001640 ,0.002160 ,-0.000160 ,0.000180 ,0.000780 ,-0.001780 ,-0.000220 ,0.000460 ,39462,0.47 ,0.51 ,0.37 ,0,0,0
107/8/3,587.08 ,28.7 ,-2.32 ,-6.36 ,0.000520 ,-0.000180 ,0.001720 ,0.000280 ,-0.001580 ,0.002140 ,-0.000160 ,0.000180 ,0.000860 ,-0.001620 ,-0.000180 ,0.000360 ,31999,0.38 ,0.36 ,0.22 ,0,0,0
107/9/5,587.11 ,28.1 ,-1.97 ,-6.50 ,0.000460 ,-0.000160 ,0.001920 ,0.000320 ,-0.001600 ,0.002240 ,-0.000160 ,0.000180 ,0.000860 ,-0.001740 ,-0.000240 ,0.000320 ,24841,0.49 ,0.45 ,0.38 ,0,0,0
107/10/3,585.56 ,22.1 ,-1.80 ,-6.55 ,0.000640 ,-0.000240 ,0.001980 ,0.000420 ,-0.001600 ,0.002160 ,-0.000200 ,0.000040 ,0.000800 ,-0.001740 ,-0.000060 ,0.000500 ,26023,0.40 ,0.38 ,0.31 ,0,0,0
107/11/7,587.39 ,24.2 ,-1.23 ,-6.05 ,0.000640 ,-0.000260 ,0.001960 ,0.000400 ,-0.001620 ,0.002240 ,-0.000160 ,0.000180 ,0.000840 ,-0.001760 ,-0.000220 ,0.000480 ,29248,0.55 ,0.56 ,0.48 ,0,0,0
107/12/6,585.67 ,20.8 ,-1.34 ,-6.17 ,0.000620 ,-0.000220 ,0.002020 ,0.000440 ,-0.001620 ,0.002060 ,-0.000140 ,0.000220 ,0.000740 ,-0.001720 ,-0.000260 ,0.000520 ,23712,0.56 ,0.61 ,0.49 ,0,0,0
108/1/30,583.42 ,18.6 ,-1.63 ,-6.51 ,0.000640 ,-0.000260 ,0.002000 ,0.000440 ,-0.001580 ,0.002120 ,-0.000200 ,0.000240 ,0.000700 ,-0.001700 ,-0.000220 ,0.000480 ,29184,0.57 ,0.52 ,0.42 ,0,0,0
108/2/11,582.44 ,13.8 ,-1.20 ,-6.00 ,0.000640 ,-0.000260 ,0.002080 ,0.000460 ,-0.001720 ,0.002080 ,-0.000160 ,0.000260 ,0.000760 ,-0.001780 ,-0.000140 ,0.000420 ,28781,0.55 ,0.44 ,0.36 ,0,0,0
108/3/1,582.50 ,14.8 ,-1.54 ,-6.52 ,0.000840 ,-0.000200 ,0.002020 ,0.000400 ,-0.001580 ,0.002220 ,-0.000160 ,0.000300 ,0.000840 ,-0.001840 ,-0.000300 ,0.000400 ,53021,0.31 ,0.33 ,0.33 ,0,0,0
108/4/10,586.67 ,23.3 ,-1.12 ,-5.65 ,0.000720 ,-0.000240 ,0.002020 ,0.000520 ,-0.001620 ,0.002280 ,-0.000160 ,0.000300 ,0.000820 ,-0.001840 ,-0.000280 ,0.000440 ,44691,0.40 ,0.37 ,0.37 ,0,0,0
108/5/7,583.30 ,15.0 ,-1.38 ,-6.44 ,0.000860 ,-0.000260 ,0.002000 ,0.000560 ,-0.001580 ,0.002260 ,-0.000200 ,0.000300 ,0.000740 ,-0.001860 ,-0.000260 ,0.000400 ,36440,0.31 ,0.25 ,0.26 ,0,0,0
108/6/3,587.75 ,27.2 ,-1.68 ,-6.32 ,0.000800 ,-0.000340 ,0.001960 ,0.000560 ,-0.001520 ,0.002200 ,-0.000280 ,0.000400 ,0.000680 ,-0.001840 ,-0.000340 ,0.000440 ,37911,0.32 ,0.24 ,0.30 ,0,0,0
108/7/2,588.88 ,27.4 ,-1.68 ,-6.06 ,0.000640 ,-0.000280 ,0.002080 ,0.000640 ,-0.001740 ,0.002260 ,-0.000160 ,0.000460 ,0.000840 ,-0.001860 ,-0.000460 ,0.000380 ,17727,0.35 ,0.29 ,0.34 ,0.05 ,0.05 ,0.07 
108/8/5,589.09 ,28.4 ,-0.70 ,-5.20 ,0.000580 ,-0.000220 ,0.001980 ,0.000520 ,-0.001560 ,0.002420 ,-0.000020 ,0.000440 ,0.000760 ,-0.001820 ,-0.000320 ,0.000300 ,32481,0.25 ,0.17 ,0.27 ,0.12 ,0.02 ,0.05 
108/9/9,588.52 ,26.2 ,-1.33 ,-5.77 ,0.000580 ,-0.000240 ,0.002020 ,0.000460 ,-0.001660 ,0.002460 ,-0.000120 ,0.000440 ,0.000940 ,-0.001860 ,-0.000260 ,0.000440 ,25601,0.23 ,0.16 ,0.21 ,0.26 ,0.12 ,0.15 
108/10/7,587.93 ,22.9 ,-1.35 ,-5.87 ,0.000520 ,-0.000320 ,0.002040 ,0.000420 ,-0.001680 ,0.002540 ,-0.000180 ,0.000460 ,0.000980 ,-0.001800 ,-0.000220 ,0.000420 ,26476,0.43 ,0.37 ,0.39 ,0.23 ,0.03 ,0.08 
108/11/1,585.55 ,19.7 ,-0.64 ,-4.67 ,0.000540 ,-0.000320 ,0.002080 ,0.000460 ,-0.001600 ,0.002460 ,-0.000120 ,0.000520 ,0.000900 ,-0.001860 ,-0.000160 ,0.000440 ,34833,0.46 ,0.40 ,0.32 ,0.33 ,0.08 ,0.13 
109/2/4,582.95 ,13.6 ,-1.35 ,-5.33 ,0.000440 ,-0.000300 ,0.002060 ,0.000540 ,-0.001480 ,0.002420 ,-0.000200 ,0.000400 ,0.000840 ,-0.001900 ,-0.000260 ,0.000540 ,37152,0.36 ,0.32 ,0.36 ,0.39 ,0.19 ,0.23 
109/3/5,581.74 ,12.5 ,-1.75 ,-5.74 ,-0.000100 ,0.000040 ,-0.000140 ,0.000180 ,0.000120 ,0.000020 ,-0.000300 ,0.000220 ,-0.000180 ,0.000100 ,-0.000180 ,0.000260 ,37573,0.25 ,0.25 ,0.28 ,0.40 ,0.11 ,0.17 
109/4/8,583.60 ,14.2 ,-1.55 ,-5.66 ,-0.000020 ,0.000020 ,-0.000060 ,0.000240 ,0.000120 ,0.000000 ,-0.000320 ,0.000060 ,-0.000380 ,0.000100 ,-0.000220 ,0.000280 ,45797,0.32 ,0.33 ,0.35 ,0.32 ,0.04 ,0.08 
109/5/5,587.38 ,25.4 ,-1.77 ,-5.80 ,-0.000040 ,0.000060 ,-0.000080 ,0.000200 ,0.000080 ,0.000060 ,-0.000380 ,0.000160 ,-0.000340 ,0.000180 ,-0.000240 ,0.000240 ,58458,0.25 ,0.26 ,0.28 ,0.30 ,0.10 ,0.14 
109/6/4,590.74 ,29.4 ,-1.90 ,-5.91 ,0.000020 ,0.000140 ,-0.000120 ,0.000180 ,0.000060 ,0.000000 ,-0.000380 ,0.000200 ,-0.000400 ,0.000260 ,-0.000280 ,0.000200 ,51314,0.22 ,0.22 ,0.19 ,0.21 ,0.01 ,0.06 
109/7/3,588.44 ,29.4 ,-1.60 ,-6.08 ,0.000040 ,0.000080 ,-0.000040 ,0.000160 ,0.000040 ,0.000060 ,-0.000500 ,0.000220 ,-0.000220 ,0.000140 ,-0.000360 ,0.000120 ,29561,0.16 ,0.15 ,0.14 ,0.29 ,0.06 ,0.11 
109/8/3,587.23 ,24.3 ,-1.78 ,-6.25 ,0.000040 ,0.000040 ,-0.000100 ,0.000200 ,0.000020 ,0.000040 ,-0.000520 ,0.000280 ,-0.000020 ,0.000200 ,-0.000380 ,0.000000 ,31258,0.13 ,0.11 ,0.09 ,0.30 ,0.00 ,0.06 
109/9/2,589.35 ,27.9 ,-1.30 ,-5.72 ,0.000080 ,0.000060 ,-0.000120 ,0.000180 ,0.000040 ,0.000100 ,-0.000500 ,0.000200 ,-0.000100 ,0.000340 ,-0.000460 ,-0.000080 ,36022,0.13 ,0.10 ,0.06 ,0.27 ,0.09 ,0.14 
109/10/8,586.52 ,20.1 ,-1.58 ,-6.33 ,0.000020 ,0.000180 ,-0.000120 ,0.000180 ,0.000000 ,0.000060 ,-0.000580 ,0.000260 ,-0.000040 ,0.000300 ,-0.000440 ,-0.000040 ,29845,0.10 ,0.05 ,0.01 ,0.23 ,0.06 ,0.12 
109/11/5,584.88 ,16.5 ,-1.39 ,-5.73 ,0.000020 ,0.000240 ,-0.000160 ,0.000120 ,-0.000020 ,0.000140 ,-0.000580 ,0.000260 ,0.000000 ,0.000280 ,-0.000500 ,-0.000140 ,19355,0.12 ,0.12 ,0.14 ,0.26 ,0.11 ,0.21 
109/12/4,584.84 ,13.8 ,-1.33 ,-5.29 ,0.000080 ,0.000220 ,-0.000120 ,0.000200 ,-0.000120 ,0.000200 ,-0.000600 ,0.000400 ,0.000060 ,0.000220 ,-0.000480 ,-0.000220 ,22732,0.21 ,0.21 ,0.23 ,0.23 ,0.15 ,0.25 
110/1/6,583.79 ,11.5 ,-1.11 ,-5.17 ,0.000120 ,0.000140 ,-0.000060 ,0.000160 ,-0.000040 ,0.000220 ,-0.000580 ,0.000380 ,0.000180 ,0.000140 ,-0.000560 ,-0.000260 ,47840,0.33 ,0.32 ,0.33 ,0.18 ,0.15 ,0.28 
110/2/8,584.57 ,16.2 ,-1.22 ,-6.08 ,0.000180 ,0.000200 ,-0.000080 ,0.000120 ,-0.000040 ,0.000260 ,-0.000620 ,0.000400 ,0.000240 ,0.000200 ,-0.000540 ,-0.000320 ,41138,0.37 ,0.34 ,0.31 ,0.29 ,0.15 ,0.30 
110/3/3,583.46 ,13.2 ,-1.22 ,-5.64 ,0.000100 ,0.000140 ,-0.000100 ,0.000080 ,0.000080 ,0.000120 ,-0.000640 ,0.000320 ,0.000160 ,0.000260 ,-0.000460 ,-0.000200 ,37041,0.38 ,0.38 ,0.37 ,0.18 ,0.14 ,0.22 
110/4/7,583.94 ,16.7 ,-0.78 ,-5.25 ,-0.000060 ,0.000300 ,-0.000040 ,0.000200 ,-0.000040 ,0.000020 ,-0.000380 ,-0.000180 ,0.000240 ,-0.000360 ,-0.000580 ,0.000540 ,60699,0.27 ,0.30 ,0.29 ,0.36 ,0.15 ,0.20 
110/4/29,583.91 ,16.4 ,-0.91,-5.59,-0.000260 ,0.000400 ,0.000860 ,0.000120 ,-0.000180 ,0.000280 ,-0.000420 ,-0.001020 ,0.000260 ,0.000140 ,-0.000400 ,-0.000140 ,77808,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
110/6/1,585.63 ,20.6 ,-0.89,-5.6,-0.000320 ,0.000500 ,0.000200 ,0.000260 ,-0.000140 ,0.000020 ,-0.000400 ,-0.000080 ,0.000220 ,0.000140 ,-0.000400 ,0.000600 ,48537,0.09 ,0.04 ,0.13 ,-0.05 ,-0.07 ,-0.02 
110/7/5,587.93 ,29.4 ,-0.81,-5.75,-0.000300 ,0.000420 ,0.000020 ,0.000140 ,-0.000160 ,0.000200 ,-0.000480 ,-0.000100 ,0.000400 ,0.000300 ,-0.000260 ,0.000680 ,51877,-0.05 ,-0.25 ,-0.05 ,-0.32 ,-0.42 ,-0.35 
110/8/2,588.60 ,33.0 ,-1.57,-5.66,-0.000500 ,0.000460 ,-0.000020 ,0.000100 ,-0.000200 ,0.000160 ,-0.000780 ,-0.000080 ,0.000580 ,0.000640 ,0.000040 ,0.000680 ,29221,-1.74 ,-1.24 ,-0.79 ,-0.72 ,-0.44 ,-0.35 
110/9/1,588.60 ,31.8 ,-1.68,-5.71,-0.000620 ,0.000500 ,0.000140 ,0.000040 ,-0.000040 ,0.000100 ,-0.000700 ,-0.000180 ,0.000080 ,0.000300 ,-0.000100 ,0.000640 ,17637,-0.87 ,-0.60 ,-0.29 ,-3.06 ,-1.74 ,-1.52 

